[14:13:06] [INFO ]  	
[14:13:06] [INFO ]  
[14:13:06] [INFO ]  ------------------------------------------
[14:13:06] [INFO ]  Single CV Measurement
[14:13:06] [INFO ]  ------------------------------------------
[14:13:06] [INFO ]  Multiple measurements of IV over a longer period.
[14:13:06] [INFO ]  	
[14:13:06] [INFO ]  Start date          : 2022/03/22 14:13:06
[14:13:06] [INFO ]  User                : silicon
[14:13:06] [INFO ]  Host                : HGC-PC
[14:13:06] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16
[14:13:06] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16/00_20220322_141306/log.txt
[14:13:06] [INFO ]  	
[14:13:06] [INFO ]  Initialising device.
[14:13:06] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[14:13:06] [INFO ]  Initialising device.
[14:13:06] [INFO ]  Agilent Technologies,E4980A,MY46310732,A.06.15
[14:13:07] [INFO ]  Measurement Settings:
[14:13:07] [INFO ]  Power Supply voltage limit:      2.10E+01 V
[14:13:07] [INFO ]  Power Supply current limit:      1.00E-03 A
[14:13:07] [INFO ]  LCR measurement voltage:         5.00E-01 V
[14:13:07] [INFO ]  Voltage Delay:                       3.00 s
[14:13:07] [INFO ]  	
[14:13:07] [INFO ]  	
[14:13:07] [INFO ]   Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
[14:17:18] [INFO ]  -3.80E+02	-3.80E+02	1.00E+06	4.6046E-11	3.97E-15	2.35E+05	8.37E+02	-1.57E-04
[14:17:23] [INFO ]  -3.90E+02	-3.90E+02	1.00E+04	4.5433E-11	9.10E-15	7.76E+06	6.22E+04	-1.60E-04
[14:17:24] [INFO ]  -3.90E+02	-3.90E+02	1.00E+05	4.6090E-11	3.14E-16	3.08E+06	2.56E+03	-1.60E-04
[14:17:24] [INFO ]  -3.90E+02	-3.90E+02	1.00E+06	4.6044E-11	3.74E-15	2.33E+05	8.77E+02	-1.60E-04
[14:17:30] [INFO ]  -4.00E+02	-4.00E+02	1.00E+04	4.5437E-11	9.38E-15	7.73E+06	3.92E+04	-1.64E-04
[14:17:30] [INFO ]  -4.00E+02	-4.00E+02	1.00E+05	4.6090E-11	3.26E-16	3.08E+06	2.14E+03	-1.64E-04
[14:17:31] [INFO ]  -4.00E+02	-4.00E+02	1.00E+06	4.6043E-11	2.23E-15	2.35E+05	1.04E+03	-1.64E-04
[14:17:37] [INFO ]  -4.10E+02	-4.10E+02	1.00E+04	4.5436E-11	1.33E-14	7.77E+06	8.07E+04	-1.68E-04
[14:17:37] [INFO ]  -4.10E+02	-4.10E+02	1.00E+05	4.6090E-11	4.77E-16	3.08E+06	3.27E+03	-1.68E-04
[14:17:38] [INFO ]  -4.10E+02	-4.10E+02	1.00E+06	4.6043E-11	4.35E-15	2.35E+05	7.87E+02	-1.68E-04
[14:17:43] [INFO ]  -4.20E+02	-4.20E+02	1.00E+04	4.5440E-11	1.45E-14	7.77E+06	3.94E+04	-1.72E-04
[14:17:44] [INFO ]  -4.20E+02	-4.20E+02	1.00E+05	4.6090E-11	4.66E-16	3.08E+06	2.81E+03	-1.72E-04
[14:17:44] [INFO ]  -4.20E+02	-4.20E+02	1.00E+06	4.6045E-11	3.28E-15	2.35E+05	6.29E+02	-1.72E-04
[14:17:50] [INFO ]  -4.30E+02	-4.30E+02	1.00E+04	4.5438E-11	1.19E-14	7.78E+06	4.04E+04	-1.76E-04
[14:17:50] [INFO ]  -4.30E+02	-4.30E+02	1.00E+05	4.6090E-11	3.56E-16	3.08E+06	3.25E+03	-1.76E-04
[14:17:51] [INFO ]  -4.30E+02	-4.30E+02	1.00E+06	4.6041E-11	3.91E-15	2.35E+05	7.13E+02	-1.76E-04
[14:17:57] [INFO ]  -4.40E+02	-4.40E+02	1.00E+04	4.5449E-11	8.30E-15	7.77E+06	5.63E+04	-1.80E-04
[14:17:57] [INFO ]  -4.40E+02	-4.40E+02	1.00E+05	4.6090E-11	6.34E-16	3.08E+06	1.27E+03	-1.80E-04
[14:17:58] [INFO ]  -4.40E+02	-4.40E+02	1.00E+06	4.6043E-11	3.09E-15	2.35E+05	8.92E+02	-1.80E-04
[14:18:03] [INFO ]  -4.50E+02	-4.50E+02	1.00E+04	4.5438E-11	7.50E-15	7.76E+06	2.12E+04	-1.84E-04
[14:18:04] [INFO ]  -4.50E+02	-4.50E+02	1.00E+05	4.6090E-11	4.86E-16	3.09E+06	3.88E+03	-1.84E-04
[14:18:04] [INFO ]  -4.50E+02	-4.50E+02	1.00E+06	4.6045E-11	3.04E-15	2.36E+05	1.43E+03	-1.84E-04
