# Interpad C
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# Voltage Delay:                       3.00 s
# 
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
-4.50000E+02	-4.49990E+02	1.00000E+06	4.60446E-11	3.03645E-15	2.35927E+05	1.43096E+03	-1.84086E-04
-4.60000E+02	-4.59979E+02	1.00000E+04	4.54367E-11	6.18935E-15	7.76334E+06	4.02084E+04	-1.88204E-04
-4.60000E+02	-4.59979E+02	1.00000E+05	4.60895E-11	9.74474E-16	3.09367E+06	1.99646E+03	-1.88204E-04
-4.60000E+02	-4.59979E+02	1.00000E+06	4.60439E-11	2.54825E-15	2.34745E+05	6.69125E+02	-1.88204E-04
-4.70000E+02	-4.69988E+02	1.00000E+04	4.54394E-11	1.31179E-14	7.77234E+06	2.45591E+04	-1.92816E-04
-4.70000E+02	-4.69988E+02	1.00000E+05	4.60896E-11	5.19230E-16	3.09317E+06	2.99790E+03	-1.92816E-04
-4.70000E+02	-4.69988E+02	1.00000E+06	4.60435E-11	3.85383E-15	2.35157E+05	1.94986E+03	-1.92816E-04
-4.80000E+02	-4.79995E+02	1.00000E+04	4.54399E-11	1.17818E-14	7.77904E+06	2.95702E+04	-1.96842E-04
-4.80000E+02	-4.79995E+02	1.00000E+05	4.60891E-11	2.92575E-16	3.08850E+06	2.58343E+03	-1.96842E-04
-4.80000E+02	-4.79995E+02	1.00000E+06	4.60420E-11	1.66973E-15	2.34800E+05	1.20191E+03	-1.96842E-04
-4.90000E+02	-4.89977E+02	1.00000E+04	4.54440E-11	5.17710E-15	7.76556E+06	2.82096E+04	-2.00970E-04
-4.90000E+02	-4.89977E+02	1.00000E+05	4.60887E-11	2.22711E-16	3.09076E+06	4.18143E+03	-2.00970E-04
-4.90000E+02	-4.89977E+02	1.00000E+06	4.60441E-11	2.24375E-15	2.35486E+05	1.39113E+03	-2.00970E-04
