# Single CV
# 
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# LCR measurement frequency:       1.00E+03 Hz
# Voltage Delay:                       3.00 s
# 
# 
# 
# Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
-3.10000E+02	-3.09953E+02	5.00000E+02	1.44184E+06	3.33527E+02	-3.38803E+06	4.05019E+02	9.39513E-11	7.95450E-11	-1.24206E-04
-3.10000E+02	-3.09953E+02	1.00000E+03	5.97823E+05	5.00000E+01	-1.99415E+06	5.00400E+01	7.98108E-11	7.32294E-11	-1.24206E-04
-3.10000E+02	-3.09953E+02	1.00000E+04	1.46119E+04	1.42492E+00	-2.50750E+05	6.32456E-01	6.34716E-11	6.32568E-11	-1.24206E-04
-3.20000E+02	-3.19963E+02	5.00000E+02	1.44422E+06	2.96877E+02	-3.41612E+06	5.43860E+02	9.31787E-11	7.90500E-11	-1.27326E-04
-3.20000E+02	-3.19963E+02	1.00000E+03	5.94135E+05	5.54054E+01	-2.00687E+06	6.32456E+01	7.93051E-11	7.29144E-11	-1.27326E-04
-3.20000E+02	-3.19963E+02	1.00000E+04	1.42840E+04	5.74804E-01	-2.50836E+05	1.93907E+00	6.34498E-11	6.32447E-11	-1.27326E-04
-3.30000E+02	-3.29974E+02	5.00000E+02	1.44706E+06	2.45471E+02	-3.44411E+06	2.83789E+02	9.24215E-11	7.85542E-11	-1.30427E-04
-3.30000E+02	-3.29974E+02	1.00000E+03	5.90736E+05	3.87484E+01	-2.01933E+06	3.00666E+01	7.88156E-11	7.26023E-11	-1.30427E-04
-3.30000E+02	-3.29974E+02	1.00000E+04	1.39604E+04	1.90893E+00	-2.50923E+05	1.83303E+00	6.34278E-11	6.32320E-11	-1.30427E-04
-3.40000E+02	-3.39962E+02	5.00000E+02	1.45019E+06	3.22341E+02	-3.47065E+06	4.21919E+02	9.17147E-11	7.80822E-11	-1.33481E-04
-3.40000E+02	-3.39962E+02	1.00000E+03	5.87427E+05	4.40227E+01	-2.03150E+06	5.53534E+01	7.83434E-11	7.22983E-11	-1.33481E-04
-3.40000E+02	-3.39962E+02	1.00000E+04	1.36432E+04	7.40270E-01	-2.51006E+05	1.16619E+00	6.34068E-11	6.32200E-11	-1.33481E-04
-3.50000E+02	-3.49969E+02	5.00000E+02	1.45350E+06	4.01427E+02	-3.49770E+06	4.36193E+02	9.10056E-11	7.76041E-11	-1.36582E-04
-3.50000E+02	-3.49969E+02	1.00000E+03	5.84340E+05	7.02527E+01	-2.04361E+06	5.09902E+01	7.78793E-11	7.19932E-11	-1.36582E-04
-3.50000E+02	-3.49969E+02	1.00000E+04	1.33286E+04	5.67803E-01	-2.51086E+05	2.03961E+00	6.33867E-11	6.32086E-11	-1.36582E-04
-3.60000E+02	-3.59982E+02	5.00000E+02	1.45689E+06	5.05387E+02	-3.52286E+06	4.20837E+02	9.03554E-11	7.71592E-11	-1.39661E-04
-3.60000E+02	-3.59982E+02	1.00000E+03	5.81509E+05	2.21052E+01	-2.05551E+06	7.60000E+01	7.74285E-11	7.16908E-11	-1.39661E-04
-3.60000E+02	-3.59982E+02	1.00000E+04	1.30215E+04	1.14298E+00	-2.51165E+05	1.01980E+00	6.33666E-11	6.31967E-11	-1.39661E-04
-3.70000E+02	-3.69973E+02	5.00000E+02	1.46087E+06	1.91249E+02	-3.54836E+06	3.02562E+02	8.97061E-11	7.67047E-11	-1.42803E-04
-3.70000E+02	-3.69973E+02	1.00000E+03	5.78833E+05	3.35738E+01	-2.06719E+06	5.62139E+01	7.69910E-11	7.13933E-11	-1.42803E-04
-3.70000E+02	-3.69973E+02	1.00000E+04	1.27177E+04	9.45304E-01	-2.51243E+05	1.16619E+00	6.33470E-11	6.31851E-11	-1.42803E-04
-3.80000E+02	-3.79979E+02	5.00000E+02	1.46512E+06	4.59147E+02	-3.57271E+06	4.90779E+02	8.90949E-11	7.62687E-11	-1.45935E-04
-3.80000E+02	-3.79979E+02	1.00000E+03	5.76413E+05	7.71103E+01	-2.07883E+06	3.28634E+01	7.65599E-11	7.10940E-11	-1.45935E-04
-3.80000E+02	-3.79979E+02	1.00000E+04	1.24137E+04	9.87927E-01	-2.51318E+05	6.32456E-01	6.33281E-11	6.31740E-11	-1.45935E-04
-3.90000E+02	-3.89987E+02	5.00000E+02	1.46940E+06	3.21335E+02	-3.59674E+06	3.72527E+02	8.84996E-11	7.58415E-11	-1.49127E-04
