# Single CV
# 
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# LCR measurement frequency:       1.00E+03 Hz
# Voltage Delay:                       3.00 s
# 
# 
# 
# Nominal Voltage [V]	 Measured Voltage [V]	Freq [Hz]	R [Ohm]	R_Err [Ohm]	X [Ohm]	X_Err [Ohm]	Cs [F]	Cp [F]	Total Current [A]
-3.70000E+02	-3.69979E+02	1.00000E+03	4.97405E+03	7.58108E+01	-3.64738E+06	1.21425E+02	4.36354E-11	4.36353E-11	-9.07133E-05
-3.70000E+02	-3.69979E+02	1.00000E+04	2.32886E+02	1.87757E+00	-3.65129E+05	1.01980E+00	4.35886E-11	4.35886E-11	-9.07133E-05
-3.80000E+02	-3.79986E+02	5.00000E+02	1.67144E+04	8.94905E+02	-7.29160E+06	5.56618E+02	4.36543E-11	4.36541E-11	-9.29302E-05
-3.80000E+02	-3.79986E+02	1.00000E+03	4.96965E+03	1.11273E+02	-3.64734E+06	1.10272E+02	4.36359E-11	4.36358E-11	-9.29302E-05
-3.80000E+02	-3.79986E+02	1.00000E+04	2.32142E+02	1.95466E+00	-3.65130E+05	7.48331E-01	4.35885E-11	4.35885E-11	-9.29302E-05
-3.90000E+02	-3.89993E+02	5.00000E+02	1.66912E+04	4.36899E+02	-7.29143E+06	7.82422E+02	4.36553E-11	4.36551E-11	-9.52530E-05
-3.90000E+02	-3.89993E+02	1.00000E+03	5.01367E+03	9.10301E+01	-3.64742E+06	5.31413E+01	4.36350E-11	4.36349E-11	-9.52530E-05
-3.90000E+02	-3.89993E+02	1.00000E+04	2.32076E+02	9.48415E-01	-3.65130E+05	1.67332E+00	4.35886E-11	4.35886E-11	-9.52530E-05
-4.00000E+02	-3.99984E+02	5.00000E+02	1.68908E+04	8.84223E+02	-7.29213E+06	4.76680E+02	4.36512E-11	4.36509E-11	-9.76661E-05
-4.00000E+02	-3.99984E+02	1.00000E+03	5.06828E+03	1.05361E+02	-3.64742E+06	1.14996E+02	4.36349E-11	4.36348E-11	-9.76661E-05
-4.00000E+02	-3.99984E+02	1.00000E+04	2.32043E+02	2.09607E+00	-3.65131E+05	2.13542E+00	4.35885E-11	4.35885E-11	-9.76661E-05
-4.10000E+02	-4.09991E+02	5.00000E+02	1.50632E+04	1.02192E+03	-7.29099E+06	8.96161E+02	4.36580E-11	4.36578E-11	-1.00506E-04
-4.10000E+02	-4.09991E+02	1.00000E+03	4.96276E+03	1.00007E+02	-3.64739E+06	7.93473E+01	4.36353E-11	4.36352E-11	-1.00506E-04
-4.10000E+02	-4.09991E+02	1.00000E+04	2.32305E+02	2.75808E+00	-3.65132E+05	2.05913E+00	4.35884E-11	4.35884E-11	-1.00506E-04
-4.20000E+02	-4.17833E+02	5.00000E+02	1.48504E+04	1.22341E+03	-7.29185E+06	5.98445E+02	4.36528E-11	4.36526E-11	-1.19467E-04
-4.20000E+02	-4.17833E+02	1.00000E+03	4.97053E+03	1.70294E+02	-3.64780E+06	1.38939E+02	4.36304E-11	4.36304E-11	-1.19467E-04
-4.20000E+02	-4.17833E+02	1.00000E+04	2.14090E+02	1.13629E+00	-3.65120E+05	1.35647E+00	4.35897E-11	4.35897E-11	-1.19467E-04
-4.30000E+02	-4.29974E+02	5.00000E+02	1.74047E+04	8.19007E+02	-7.29229E+06	9.76250E+02	4.36502E-11	4.36499E-11	-1.03886E-04
-4.30000E+02	-4.29974E+02	1.00000E+03	5.05773E+03	9.53914E+01	-3.64775E+06	1.00678E+02	4.36310E-11	4.36309E-11	-1.03886E-04
-4.30000E+02	-4.29974E+02	1.00000E+04	2.15101E+02	1.69326E+00	-3.65120E+05	1.60000E+00	4.35898E-11	4.35898E-11	-1.03886E-04
-4.40000E+02	-4.39981E+02	5.00000E+02	1.77208E+04	6.94198E+02	-7.29233E+06	7.65627E+02	4.36499E-11	4.36497E-11	-1.06265E-04
-4.40000E+02	-4.39981E+02	1.00000E+03	5.10799E+03	8.72062E+01	-3.64781E+06	1.18051E+02	4.36302E-11	4.36302E-11	-1.06265E-04
-4.40000E+02	-4.39981E+02	1.00000E+04	2.13061E+02	6.87906E-01	-3.65120E+05	1.49666E+00	4.35898E-11	4.35898E-11	-1.06265E-04
-4.50000E+02	-4.49988E+02	5.00000E+02	1.77611E+04	1.19721E+03	-7.29225E+06	5.70985E+02	4.36504E-11	4.36502E-11	-1.08688E-04
-4.50000E+02	-4.49988E+02	1.00000E+03	4.99487E+03	1.00160E+02	-3.64777E+06	1.41619E+02	4.36308E-11	4.36307E-11	-1.08688E-04
-4.50000E+02	-4.49988E+02	1.00000E+04	2.12942E+02	1.64468E+00	-3.65122E+05	2.57682E+00	4.35895E-11	4.35895E-11	-1.08688E-04
-4.60000E+02	-4.59979E+02	5.00000E+02	1.76323E+04	4.64824E+02	-7.29162E+06	4.73515E+02	4.36542E-11	4.36540E-11	-1.11157E-04
-4.60000E+02	-4.59979E+02	1.00000E+03	5.04454E+03	5.87448E+01	-3.64773E+06	1.03615E+02	4.36312E-11	4.36311E-11	-1.11157E-04
