# Interpad C
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# LCR measurement voltage:         5.00E-01 V
# Voltage Delay:                       3.00 s
# 
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Frequency [Hz]	Cp [F]	Cp_Err [F]	Rp [Ohm]	Rp_Err [Ohm]	Total Current [A]
-4.50000E+02	-4.49987E+02	1.00000E+04	4.43309E-11	1.09598E-14	3.46424E+07	1.06510E+06	-1.16842E-04
-4.50000E+02	-4.49987E+02	1.00000E+05	4.48274E-11	2.05913E-16	4.19348E+06	1.06231E+03	-1.16842E-04
-4.50000E+02	-4.49987E+02	1.00000E+06	4.47359E-11	4.53431E-16	2.27437E+05	9.25924E+01	-1.16842E-04
-4.60000E+02	-4.59976E+02	1.00000E+04	4.43373E-11	7.57248E-15	3.49546E+07	9.03967E+05	-1.20224E-04
-4.60000E+02	-4.59976E+02	1.00000E+05	4.48274E-11	1.26491E-16	4.19354E+06	7.44972E+02	-1.20224E-04
-4.60000E+02	-4.59976E+02	1.00000E+06	4.47359E-11	4.06940E-16	2.27528E+05	1.11318E+02	-1.20224E-04
-4.70000E+02	-4.69985E+02	1.00000E+04	4.43307E-11	9.31373E-15	3.41423E+07	1.12889E+06	-1.22981E-04
-4.70000E+02	-4.69985E+02	1.00000E+05	4.48273E-11	1.41421E-16	4.19078E+06	1.42418E+03	-1.22981E-04
-4.70000E+02	-4.69985E+02	1.00000E+06	4.47358E-11	5.70614E-16	2.27452E+05	8.64236E+01	-1.22981E-04
-4.80000E+02	-4.79993E+02	1.00000E+04	4.43383E-11	1.43698E-14	3.49996E+07	7.15005E+05	-1.26313E-04
-4.80000E+02	-4.79993E+02	1.00000E+05	4.48273E-11	1.93907E-16	4.19501E+06	1.69677E+03	-1.26313E-04
-4.80000E+02	-4.79993E+02	1.00000E+06	4.47360E-11	5.42586E-16	2.27576E+05	1.12721E+02	-1.26313E-04
-4.90000E+02	-4.89978E+02	1.00000E+04	4.43494E-11	1.55826E-14	3.51230E+07	4.76496E+05	-1.29411E-04
-4.90000E+02	-4.89978E+02	1.00000E+05	4.48347E-11	1.78885E-16	4.19429E+06	9.16524E+02	-1.29411E-04
-4.90000E+02	-4.89978E+02	1.00000E+06	4.47444E-11	5.53534E-16	2.27537E+05	1.52235E+02	-1.29411E-04
-5.00000E+02	-4.99986E+02	1.00000E+04	4.43346E-11	1.39963E-14	3.53937E+07	9.98582E+05	-1.32692E-04
-5.00000E+02	-4.99986E+02	1.00000E+05	4.48348E-11	2.80000E-16	4.19453E+06	1.76965E+03	-1.32692E-04
-5.00000E+02	-4.99986E+02	1.00000E+06	4.47447E-11	6.80000E-16	2.27587E+05	1.37417E+02	-1.32692E-04
-5.10000E+02	-5.09994E+02	1.00000E+04	4.43370E-11	1.05556E-14	3.49297E+07	7.89533E+05	-1.35940E-04
-5.10000E+02	-5.09994E+02	1.00000E+05	4.48348E-11	1.60000E-16	4.19538E+06	1.37446E+03	-1.35940E-04
-5.10000E+02	-5.09994E+02	1.00000E+06	4.47446E-11	4.96387E-16	2.27597E+05	6.83591E+01	-1.35940E-04
-5.20000E+02	-5.19985E+02	1.00000E+04	4.43332E-11	1.22849E-14	3.53731E+07	6.94887E+05	-1.39228E-04
-5.20000E+02	-5.19985E+02	1.00000E+05	4.48350E-11	1.85472E-16	4.19302E+06	2.28323E+03	-1.39228E-04
-5.20000E+02	-5.19985E+02	1.00000E+06	4.47445E-11	6.73498E-16	2.27546E+05	1.13637E+02	-1.39228E-04
-5.30000E+02	-5.29990E+02	1.00000E+04	4.43350E-11	1.54637E-14	3.48616E+07	3.47950E+05	-1.42811E-04
