# Interpad R
# 
# Measurement Settings:
# Power Supply voltage limit:      2.10E+01 V
# Power Supply current limit:      1.00E-03 A
# Voltage Delay:                       2.00 s
# 
# 
# 
# Bias Voltage[V]	Interpad Voltage [V]	Interpad Current Mean [A]	Interpad Current Error [A]	Resistance (polynom fit) [Ohm]	Resistance (diff) [Ohm]	dR (fit) [Ohm]	Chi2 of Fit [-]	Total Current [A]	
-9.00000E+01	1.99999E+00	1.24075E-05	6.37704E-11	7.73505E+06	7.77198E+06	2.05388E+04	1.60599E+04	-5.53203E-05
-9.00000E+01	2.50003E+00	1.24731E-05	1.51731E-10	7.73505E+06	7.77198E+06	2.05388E+04	1.60599E+04	-5.53203E-05
-9.00000E+01	2.99992E+00	1.25382E-05	6.54896E-11	7.73505E+06	7.77198E+06	2.05388E+04	1.60599E+04	-5.53203E-05
-9.00000E+01	3.49989E+00	1.26015E-05	4.71405E-11	7.73505E+06	7.77198E+06	2.05388E+04	1.60599E+04	-5.53203E-05
-9.00000E+01	4.00015E+00	1.26630E-05	1.24722E-11	7.73505E+06	7.77198E+06	2.05388E+04	1.60599E+04	-5.53203E-05
-9.00000E+01	4.49999E+00	1.27254E-05	1.67796E-10	7.73505E+06	7.77198E+06	2.05388E+04	1.60599E+04	-5.53203E-05
-9.00000E+01	4.99990E+00	1.27863E-05	2.06774E-10	7.73505E+06	7.77198E+06	2.05388E+04	1.60599E+04	-5.53203E-05
-1.00000E+02	-2.67338E-06	1.29202E-05	1.70489E-10	7.82326E+06	7.81492E+06	2.28207E+04	4.29844E+04	-5.90899E-05
-1.00000E+02	4.99978E-01	1.29881E-05	1.01434E-10	7.82326E+06	7.81492E+06	2.28207E+04	4.29844E+04	-5.90899E-05
-1.00000E+02	9.99994E-01	1.30565E-05	2.94392E-11	7.82326E+06	7.81492E+06	2.28207E+04	4.29844E+04	-5.90899E-05
-1.00000E+02	1.49997E+00	1.31246E-05	1.55778E-10	7.82326E+06	7.81492E+06	2.28207E+04	4.29844E+04	-5.90899E-05
-1.00000E+02	1.99998E+00	1.31905E-05	5.88784E-11	7.82326E+06	7.81492E+06	2.28207E+04	4.29844E+04	-5.90899E-05
-1.00000E+02	2.50003E+00	1.32544E-05	1.47648E-10	7.82326E+06	7.81492E+06	2.28207E+04	4.29844E+04	-5.90899E-05
-1.00000E+02	2.99992E+00	1.33176E-05	3.39935E-11	7.82326E+06	7.81492E+06	2.28207E+04	4.29844E+04	-5.90899E-05
-1.00000E+02	3.49995E+00	1.33828E-05	1.17284E-10	7.82326E+06	7.81492E+06	2.28207E+04	4.29844E+04	-5.90899E-05
-1.00000E+02	4.00016E+00	1.34448E-05	4.18994E-11	7.82326E+06	7.81492E+06	2.28207E+04	4.29844E+04	-5.90899E-05
-1.00000E+02	4.50000E+00	1.35051E-05	1.24722E-11	7.82326E+06	7.81492E+06	2.28207E+04	4.29844E+04	-5.90899E-05
-1.00000E+02	4.99989E+00	1.35639E-05	1.24722E-10	7.82326E+06	7.81492E+06	2.28207E+04	4.29844E+04	-5.90899E-05
-1.10000E+02	-3.24188E-06	1.36721E-05	1.38804E-10	8.00692E+06	7.86294E+06	6.04122E+04	6.05451E+04	-6.27414E-05
-1.10000E+02	4.99976E-01	1.37416E-05	2.45900E-10	8.00692E+06	7.86294E+06	6.04122E+04	6.05451E+04	-6.27414E-05
-1.10000E+02	9.99992E-01	1.38064E-05	8.99383E-11	8.00692E+06	7.86294E+06	6.04122E+04	6.05451E+04	-6.27414E-05
-1.10000E+02	1.49997E+00	1.38747E-05	1.51731E-10	8.00692E+06	7.86294E+06	6.04122E+04	6.05451E+04	-6.27414E-05
-1.10000E+02	1.99998E+00	1.39405E-05	1.10855E-10	8.00692E+06	7.86294E+06	6.04122E+04	6.05451E+04	-6.27414E-05
-1.10000E+02	2.50004E+00	1.40052E-05	4.49691E-11	8.00692E+06	7.86294E+06	6.04122E+04	6.05451E+04	-6.27414E-05
-1.10000E+02	2.99992E+00	1.40685E-05	3.26599E-11	8.00692E+06	7.86294E+06	6.04122E+04	6.05451E+04	-6.27414E-05
-1.10000E+02	3.49994E+00	1.41312E-05	8.16497E-12	8.00692E+06	7.86294E+06	6.04122E+04	6.05451E+04	-6.27414E-05
-1.10000E+02	4.00013E+00	1.41938E-05	1.79877E-10	8.00692E+06	7.86294E+06	6.04122E+04	6.05451E+04	-6.27414E-05
-1.10000E+02	4.50000E+00	1.42542E-05	2.12027E-10	8.00692E+06	7.86294E+06	6.04122E+04	6.05451E+04	-6.27414E-05
-1.10000E+02	4.99991E+00	1.43138E-05	4.98888E-11	8.00692E+06	7.86294E+06	6.04122E+04	6.05451E+04	-6.27414E-05
-1.20000E+02	-4.89081E-06	1.44049E-05	4.49691E-11	7.68165E+06	7.90382E+06	4.38257E+04	4.59945E+04	-6.63161E-05
-1.20000E+02	4.99979E-01	1.44713E-05	6.23610E-11	7.68165E+06	7.90382E+06	4.38257E+04	4.59945E+04	-6.63161E-05
-1.20000E+02	9.99994E-01	1.45382E-05	1.24989E-10	7.68165E+06	7.90382E+06	4.38257E+04	4.59945E+04	-6.63161E-05
