[16:30:19] [INFO ]  ------------------------------------------
[16:30:19] [INFO ]  Interpad Resistance
[16:30:19] [INFO ]  ------------------------------------------
[16:30:19] [INFO ]  Measure interpad resistance
[16:30:19] [INFO ]  	
[16:30:19] [INFO ]  Start date          : 2022/03/22 16:30:19
[16:30:19] [INFO ]  User                : silicon
[16:30:19] [INFO ]  Host                : HGC-PC
[16:30:19] [INFO ]  Identifier          : HPK_ProtoA_300042_HD_UR_1.4E16
[16:30:19] [INFO ]  Log will be stored to logs/HPK_ProtoA_300042_HD_UR_1.4E16/00_20220322_163019/log.txt
[16:30:19] [INFO ]  	
[16:30:19] [INFO ]  Initialising device.
[16:30:20] [INFO ]  KEITHLEY INSTRUMENTS INC.,MODEL 2410,0804779,C33   Mar 31 2015 09:32:39/A02  /F/H
[16:30:20] [INFO ]  Initialising device.
[16:30:20] [INFO ]  KEITHLEY INSTRUMENTS,MODEL 2470,04485245,1.7.5b
[16:30:20] [INFO ]  Measurement Settings:
[16:30:20] [INFO ]  Power Supply voltage limit:      2.10E+01 V
[16:30:20] [INFO ]  Power Supply current limit:      1.00E-03 A
[16:30:20] [INFO ]  Voltage Delay:                       2.00 s
[16:30:20] [INFO ]  	
[16:30:20] [INFO ]  	
[16:30:20] [INFO ]  Bias Voltage[V]	Interpad Voltage [V]	Interpad Current Mean [A]	Interpad Current Error [A]	Resistance (polynom fit) [Ohm]	Resistance (diff) [Ohm]	dR (fit) [Ohm]	Chi2 of Fit [-]	Total Current [A]	
[16:30:20] [INFO ]  ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[16:33:25] [INFO ]  -6.00E+01	5.00E+00	1.0258E-05	1.05E-10	7.36E+06	7.52E+06	2.36E+04	6.39E+04	-4.33E-05
[16:33:56] [INFO ]  -7.00E+01	-2.33E-06	1.0481E-05	1.28E-10	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:33:56] [INFO ]  -7.00E+01	5.00E-01	1.0552E-05	8.22E-11	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:33:56] [INFO ]  -7.00E+01	1.00E+00	1.0622E-05	2.16E-11	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:33:56] [INFO ]  -7.00E+01	1.50E+00	1.0691E-05	5.44E-11	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:33:56] [INFO ]  -7.00E+01	2.00E+00	1.0759E-05	4.03E-11	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:33:56] [INFO ]  -7.00E+01	2.50E+00	1.0825E-05	4.78E-11	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:33:56] [INFO ]  -7.00E+01	3.00E+00	1.0891E-05	9.18E-11	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:33:56] [INFO ]  -7.00E+01	3.50E+00	1.0957E-05	4.64E-11	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:33:56] [INFO ]  -7.00E+01	4.00E+00	1.1021E-05	3.09E-11	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:33:56] [INFO ]  -7.00E+01	4.50E+00	1.1083E-05	2.00E-10	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:33:56] [INFO ]  -7.00E+01	5.00E+00	1.1143E-05	7.04E-11	7.51E+06	7.61E+06	2.44E+04	5.34E+04	-4.74E-05
[16:34:28] [INFO ]  -8.00E+01	-3.87E-06	1.1333E-05	1.31E-10	7.70E+06	7.76E+06	6.42E+04	1.47E+05	-5.15E-05
[16:34:28] [INFO ]  -8.00E+01	5.00E-01	1.1402E-05	7.32E-11	7.70E+06	7.76E+06	6.42E+04	1.47E+05	-5.15E-05
[16:34:28] [INFO ]  -8.00E+01	1.00E+00	1.1470E-05	2.49E-11	7.70E+06	7.76E+06	6.42E+04	1.47E+05	-5.15E-05
[16:34:28] [INFO ]  -8.00E+01	1.50E+00	1.1538E-05	1.10E-10	7.70E+06	7.76E+06	6.42E+04	1.47E+05	-5.15E-05
[16:34:28] [INFO ]  -8.00E+01	2.00E+00	1.1605E-05	1.03E-10	7.70E+06	7.76E+06	6.42E+04	1.47E+05	-5.15E-05
[16:34:28] [INFO ]  -8.00E+01	2.50E+00	1.1671E-05	3.09E-11	7.70E+06	7.76E+06	6.42E+04	1.47E+05	-5.15E-05
[16:34:28] [INFO ]  -8.00E+01	3.00E+00	1.1735E-05	2.05E-11	7.70E+06	7.76E+06	6.42E+04	1.47E+05	-5.15E-05
[16:34:28] [INFO ]  -8.00E+01	3.50E+00	1.1798E-05	5.31E-11	7.70E+06	7.76E+06	6.42E+04	1.47E+05	-5.15E-05
[16:34:28] [INFO ]  -8.00E+01	4.00E+00	1.1861E-05	4.90E-11	7.70E+06	7.76E+06	6.42E+04	1.47E+05	-5.15E-05
[16:34:28] [INFO ]  -8.00E+01	4.50E+00	1.1922E-05	4.50E-11	7.70E+06	7.76E+06	6.42E+04	1.47E+05	-5.15E-05
[16:34:28] [INFO ]  -8.00E+01	5.00E+00	1.1982E-05	3.68E-11	7.70E+06	7.76E+06	6.42E+04	1.47E+05	-5.15E-05
[16:34:59] [INFO ]  -9.00E+01	-2.67E-06	1.2139E-05	1.59E-10	7.74E+06	7.77E+06	2.05E+04	1.61E+04	-5.53E-05
[16:34:59] [INFO ]  -9.00E+01	5.00E-01	1.2207E-05	1.22E-10	7.74E+06	7.77E+06	2.05E+04	1.61E+04	-5.53E-05
[16:34:59] [INFO ]  -9.00E+01	1.00E+00	1.2274E-05	4.03E-11	7.74E+06	7.77E+06	2.05E+04	1.61E+04	-5.53E-05
[16:34:59] [INFO ]  -9.00E+01	1.50E+00	1.2341E-05	1.14E-10	7.74E+06	7.77E+06	2.05E+04	1.61E+04	-5.53E-05
[16:34:59] [INFO ]  -9.00E+01	2.00E+00	1.2407E-05	6.38E-11	7.74E+06	7.77E+06	2.05E+04	1.61E+04	-5.53E-05
[16:34:59] [INFO ]  -9.00E+01	2.50E+00	1.2473E-05	1.52E-10	7.74E+06	7.77E+06	2.05E+04	1.61E+04	-5.53E-05
[16:34:59] [INFO ]  -9.00E+01	3.00E+00	1.2538E-05	6.55E-11	7.74E+06	7.77E+06	2.05E+04	1.61E+04	-5.53E-05
[16:34:59] [INFO ]  -9.00E+01	3.50E+00	1.2602E-05	4.71E-11	7.74E+06	7.77E+06	2.05E+04	1.61E+04	-5.53E-05
[16:34:59] [INFO ]  -9.00E+01	4.00E+00	1.2663E-05	1.25E-11	7.74E+06	7.77E+06	2.05E+04	1.61E+04	-5.53E-05
[16:34:59] [INFO ]  -9.00E+01	4.50E+00	1.2725E-05	1.68E-10	7.74E+06	7.77E+06	2.05E+04	1.61E+04	-5.53E-05
[16:34:59] [INFO ]  -9.00E+01	5.00E+00	1.2786E-05	2.07E-10	7.74E+06	7.77E+06	2.05E+04	1.61E+04	-5.53E-05
[16:35:31] [INFO ]  -1.00E+02	-2.67E-06	1.2920E-05	1.70E-10	7.82E+06	7.81E+06	2.28E+04	4.30E+04	-5.91E-05
[16:35:31] [INFO ]  -1.00E+02	5.00E-01	1.2988E-05	1.01E-10	7.82E+06	7.81E+06	2.28E+04	4.30E+04	-5.91E-05
[16:35:31] [INFO ]  -1.00E+02	1.00E+00	1.3056E-05	2.94E-11	7.82E+06	7.81E+06	2.28E+04	4.30E+04	-5.91E-05
[16:35:31] [INFO ]  -1.00E+02	1.50E+00	1.3125E-05	1.56E-10	7.82E+06	7.81E+06	2.28E+04	4.30E+04	-5.91E-05
[16:35:31] [INFO ]  -1.00E+02	2.00E+00	1.3190E-05	5.89E-11	7.82E+06	7.81E+06	2.28E+04	4.30E+04	-5.91E-05
[16:35:31] [INFO ]  -1.00E+02	2.50E+00	1.3254E-05	1.48E-10	7.82E+06	7.81E+06	2.28E+04	4.30E+04	-5.91E-05
[16:35:31] [INFO ]  -1.00E+02	3.00E+00	1.3318E-05	3.40E-11	7.82E+06	7.81E+06	2.28E+04	4.30E+04	-5.91E-05
[16:35:31] [INFO ]  -1.00E+02	3.50E+00	1.3383E-05	1.17E-10	7.82E+06	7.81E+06	2.28E+04	4.30E+04	-5.91E-05
[16:35:31] [INFO ]  -1.00E+02	4.00E+00	1.3445E-05	4.19E-11	7.82E+06	7.81E+06	2.28E+04	4.30E+04	-5.91E-05
[16:35:31] [INFO ]  -1.00E+02	4.50E+00	1.3505E-05	1.25E-11	7.82E+06	7.81E+06	2.28E+04	4.30E+04	-5.91E-05
[16:35:31] [INFO ]  -1.00E+02	5.00E+00	1.3564E-05	1.25E-10	7.82E+06	7.81E+06	2.28E+04	4.30E+04	-5.91E-05
[16:36:02] [INFO ]  -1.10E+02	-3.24E-06	1.3672E-05	1.39E-10	8.01E+06	7.86E+06	6.04E+04	6.05E+04	-6.27E-05
[16:36:02] [INFO ]  -1.10E+02	5.00E-01	1.3742E-05	2.46E-10	8.01E+06	7.86E+06	6.04E+04	6.05E+04	-6.27E-05
[16:36:02] [INFO ]  -1.10E+02	1.00E+00	1.3806E-05	8.99E-11	8.01E+06	7.86E+06	6.04E+04	6.05E+04	-6.27E-05
[16:36:02] [INFO ]  -1.10E+02	1.50E+00	1.3875E-05	1.52E-10	8.01E+06	7.86E+06	6.04E+04	6.05E+04	-6.27E-05
[16:36:02] [INFO ]  -1.10E+02	2.00E+00	1.3941E-05	1.11E-10	8.01E+06	7.86E+06	6.04E+04	6.05E+04	-6.27E-05
[16:36:02] [INFO ]  -1.10E+02	2.50E+00	1.4005E-05	4.50E-11	8.01E+06	7.86E+06	6.04E+04	6.05E+04	-6.27E-05
[16:36:02] [INFO ]  -1.10E+02	3.00E+00	1.4069E-05	3.27E-11	8.01E+06	7.86E+06	6.04E+04	6.05E+04	-6.27E-05
[16:36:02] [INFO ]  -1.10E+02	3.50E+00	1.4131E-05	8.16E-12	8.01E+06	7.86E+06	6.04E+04	6.05E+04	-6.27E-05
